customer_ID,seller_ID,store_ID,purchase_date,purchased_amount_USD,size,color,season,review_rating,promo_code,promo_code_used
1034,SLR344,STR_Lou,2022-07-16,1060,L,Gray,Winter,3.10,WIN_CLT,1
1088,SLR022,STR_Mon,2021-12-01,1664,L,Maroon,Winter,3.10,WIN_CLT,1
1218,SLR128,STR_Ver,2021-11-29,3650,S,Maroon,Spring,3.10,SPR_CLT,1
1145,SLR315,STR_Ari,2021-06-11,2430,M,Maroon,Spring,3.50,SPR_FTW,1
1332,SLR209,STR_Neb,2022-10-30,980,M,Turquoise,Spring,2.70,SPR_CLT,1
1621,SLR006,STR_Mar,2023-01-20,680,M,White,Summer,2.90,SUM_FTW,1
1145,SLR322,STR_Lin,2023-10-16,1275,M,Gray,Fall,3.20,FALL_CLT,1
1331,SLR321,STR_Flo,2021-08-14,510,L,Charcoal,Winter,3.20,WIN_CLT,1
1265,SLR226,STR_Neb,2021-08-25,5044,L,Silver,Summer,2.60,SUM_OTW,1
1021,SLR200,STR_Min,2023-10-11,620,M,Pink,Spring,4.80,SPR_ACC,1
1377,SLR370,STR_Vir,2021-12-23,1054,L,Purple,Fall,4.10,FALL_FTW,1
1318,SLR020,STR_Mic,2021-04-01,1020,S,Olive,Winter,4.90,WIN_CLT,1
1004,SLR263,STR_Jer,2021-05-06,3744,M,Gold,Winter,4.50,WIN_OTW,1
1317,SLR346,STR_Ind,2021-04-18,1275,M,Violet,Spring,4.70,SPR_CLT,1
1202,SLR372,STR_Wyo,2022-09-16,2756,L,Teal,Winter,4.70,WIN_OTW,1
1215,SLR323,STR_Pen,2022-12-08,972,M,Teal,Winter,2.80,WIN_CLT,1
1633,SLR392,STR_Dak,2021-07-19,828,S,Gray,Spring,4.10,SPR_ACC,1
1599,SLR008,STR_Ark,2023-06-24,950,XL,Lavender,Winter,4.70,WIN_CLT,1
1359,SLR028,STR_Jer,2022-09-18,1248,S,Black,Summer,4.60,SUM_CLT,1
1605,SLR343,STR_Mis,2021-04-17,4050,M,Green,Summer,3.30,SUM_CLT,1
1305,SLR195,STR_Ill,2021-08-06,2295,M,Black,Winter,2.80,WIN_CLT,1
1021,SLR327,STR_Ska,2023-07-07,2790,M,Charcoal,Winter,4.10,WIN_CLT,1
1397,SLR288,STR_Lou,2022-10-24,1665,M,Peach,Summer,3.20,SUM_CLT,1
